"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Генерация тестовых данных работает","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🔧 Дополнительные проверки","","",""
"","603","Проверка Service Worker для PWA","api-tests","Tue Feb 10 21:43:44 MSK 2026","passed","Tue Feb 10 21:43:44 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","310","5. GET /static/media/*.jpg - загрузка изображения товара","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","371","Комплексная проверка SPA приложения","api-tests","Tue Feb 10 21:43:42 MSK 2026","passed","Tue Feb 10 21:43:42 MSK 2026","🔐 Дополнительные SPA тесты","","",""
"","275","5. Проверка производительности","api-tests","Tue Feb 10 21:36:13 MSK 2026","passed","Tue Feb 10 21:36:13 MSK 2026","🎓 API тесты для Sauce Demo (5 ОБЯЗАТЕЛЬНЫХ тестов)","","",""
"","69","3. GET /static/css/main.*.css - загрузка стилей","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","266","2. Фавикон существует","api-tests","Tue Feb 10 20:43:47 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","77","Проверка кэширования","api-tests","Tue Feb 10 21:36:14 MSK 2026","passed","Tue Feb 10 21:36:14 MSK 2026","🔐 Дополнительные API тесты","","",""
"","184","Проверка на SQL инъекцию (простая)","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🔧 Дополнительные проверки","","",""
"","2172","Ошибка при неверном пароле","ui-tests","Tue Feb 10 20:41:01 MSK 2026","passed","Tue Feb 10 20:41:04 MSK 2026","","ui\specs\login.test.js","",""
"","276","GET /inventory.html - проверка времени ответа","api-tests","Tue Feb 10 20:10:35 MSK 2026","failed","Tue Feb 10 20:10:35 MSK 2026","API тесты Sauce Demo","api\specs\inventoryApi.test.js","",""
"","237","Проверка фавикона","api-tests","Tue Feb 10 21:33:37 MSK 2026","passed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","250","5. Проверка заголовков безопасности","api-tests","Tue Feb 10 21:33:35 MSK 2026","failed","Tue Feb 10 21:33:35 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","165","Проверка 404 страницы","api-tests","Tue Feb 10 21:33:38 MSK 2026","passed","Tue Feb 10 21:33:38 MSK 2026","🔐 Дополнительные API тесты","","",""
"","245","1. Успешная авторизация валидным пользователем","api-tests","Tue Feb 10 21:09:43 MSK 2026","failed","Tue Feb 10 21:09:43 MSK 2026","🎓 ПОЛНОЦЕННЫЕ API тесты для Sauce Demo (5 тестов)","","",""
"","240","2. Успешная авторизация через форму логина","api-tests","Tue Feb 10 21:33:33 MSK 2026","failed","Tue Feb 10 21:33:33 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","352","4. Проверка статических ресурсов (CSS, изображения)","api-tests","Tue Feb 10 21:33:35 MSK 2026","failed","Tue Feb 10 21:33:35 MSK 2026","🎓 API тесты для Sauce Demo (5 обязательных тестов)","","",""
"","171","4. Страница возвращает 404 для несуществующего пути","api-tests","Tue Feb 10 20:43:48 MSK 2026","passed","Tue Feb 10 20:43:48 MSK 2026","5 API тестов для Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","68","4. Проверка статических ресурсов (фавикон)","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🎓 API ТЕСТЫ ДЛЯ ДИПЛОМА (5 обязательных тестов)","","",""
"","2835","Добавление товара в корзину","ui-tests","Tue Feb 10 20:40:56 MSK 2026","passed","Tue Feb 10 20:40:59 MSK 2026","Покупка товаров на Sauce Demo","ui\specs\ecommerce.test.js","",""
"","9","POST / - логин с неверным паролем возвращает ошибку","api-tests","Tue Feb 10 20:41:28 MSK 2026","failed","Tue Feb 10 20:41:28 MSK 2026","API тесты Sauce Demo","api\specs\sauceDemoApi.test.js","",""
"","75","4. GET /inventory.html - не-SPA путь возвращает 404","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","254","Проверка HTTPS и редиректов","api-tests","Tue Feb 10 21:57:56 MSK 2026","passed","Tue Feb 10 21:57:56 MSK 2026","🔧 Дополнительные проверки","","",""
"","525","3. Статические ресурсы SPA доступны","api-tests","Tue Feb 10 21:43:41 MSK 2026","passed","Tue Feb 10 21:43:42 MSK 2026","🎓 API тесты для SPA приложения Sauce Demo (5 обязательных)","","",""
"","66","Проверка наличия формы логина через API","api-tests","Tue Feb 10 21:36:13 MSK 2026","failed","Tue Feb 10 21:36:13 MSK 2026","🔐 Дополнительные API тесты","","",""
"","71","6. GET /manifest.json - веб-манифест PWA","api-tests","Tue Feb 10 20:49:06 MSK 2026","passed","Tue Feb 10 20:49:06 MSK 2026","🎯 5 API тестов Sauce Demo (на реальных данных)","api\specs\sauceDemoApi.test.js","",""
"","831","POST /pet - создание нового питомца","api-tests","Tue Feb 10 20:27:56 MSK 2026","failed","Tue Feb 10 20:27:56 MSK 2026","API тесты Swagger Petstore","api\specs\petApi.test.js","",""
"","73","Проверка недоступности защищенных страниц без авторизации","api-tests","Tue Feb 10 21:36:11 MSK 2026","failed","Tue Feb 10 21:36:11 MSK 2026","🔐 Дополнительные API тесты","","",""
